Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model
Kochi,2017,41217.0,Diesel,Manual,First,28.09,1248.0,88.5,5.0,7.4,Maruti,Ciaz
Pune,2006,98293.0,Petrol,Manual,Second,13.8,1299.0,70.0,5.0,1.55,Ford,Ikon
Pune,2017,54000.0,Petrol,Manual,Second,16.2,1199.0,74.0,5.0,6.0,Volkswagen,Polo
Chennai,2016,17377.0,Petrol,Manual,First,18.7,1199.0,88.7,5.0,5.9,Honda,Jazz
Bangalore,2013,33800.0,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,4.7,Honda,Amaze
Hyderabad,2015,86157.0,Diesel,Manual,First,22.54,1396.0,88.73,5.0,6.5,Hyundai,i20
Hyderabad,2012,146824.0,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.55,Maruti,Ritz
Chennai,2014,55000.0,Petrol,Manual,First,16.8,1497.0,116.3,5.0,7.1,Honda,City
Hyderabad,2010,53293.0,Petrol,Manual,First,13.14,1798.0,160.0,5.0,6.0,Skoda,Superb
Pune,2017,38000.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.99,Maruti,Vitara
Bangalore,2009,64000.0,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,4.1,Hyundai,i20
Hyderabad,2017,25058.0,Petrol,Automatic,First,24.07,998.0,67.1,5.0,3.95,Maruti,Alto
Kochi,2016,36700.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.38,Hyundai,EON
Mumbai,2011,35000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75,Hyundai,i10
Coimbatore,2016,22732.0,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,55.54,Mercedes-Benz,SLK-Class
Hyderabad,2014,48000.0,Diesel,Automatic,First,18.53,1968.0,187.74,5.0,29.0,Audi,A6
Bangalore,2013,62084.0,Diesel,Manual,First,22.77,1498.0,98.59,5.0,6.6,Ford,EcoSport
Kolkata,2012,39273.0,Diesel,Automatic,First,14.3,1968.0,140.0,5.0,6.99,Volkswagen,Passat
Bangalore,2017,64798.0,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.75,Toyota,Innova
Jaipur,2010,100002.0,Diesel,Manual,Third,20.0,1399.0,68.0,5.0,1.28,Ford,Figo
Pune,2006,78000.0,Petrol,Manual,Third,14.49,1399.0,92.7,5.0,1.2,Chevrolet,Aveo
Coimbatore,2013,57717.0,Petrol,Manual,First,18.5,1197.0,85.8,5.0,4.31,Maruti,Ritz
Chennai,2011,109000.0,Diesel,Automatic,First,12.39,2179.0,147.51,5.0,16.5,Land Rover,Freelander 2 SE
Coimbatore,2017,74515.0,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.64,Hyundai,Grand
Coimbatore,2017,50484.0,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,31.12,Ford,Endeavour
Kochi,2013,13452.0,Diesel,Automatic,First,12.8,1968.0,167.6,5.0,25.46,Audi,Q5
Kochi,2017,37688.0,Petrol,Manual,First,17.01,1591.0,121.3,5.0,7.88,Hyundai,Verna
Chennai,2017,34000.0,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,36.0,Mercedes-Benz,E-Class
Pune,2014,120000.0,Diesel,Automatic,First,0.0,2987.0,165.0,5.0,30.0,Mercedes-Benz,M-Class
Pune,2008,64000.0,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,2.85,Maruti,Swift
Delhi,2011,100000.0,Petrol,Manual,First,13.0,1343.0,90.0,5.0,3.5,Honda,City
Jaipur,2014,75000.0,Diesel,Manual,First,20.46,1461.0,83.8,5.0,7.5,Renault,Duster
Hyderabad,2012,86000.0,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,19.0,Mercedes-Benz,New
Hyderabad,2015,69000.0,Diesel,Automatic,First,15.97,2993.0,258.0,5.0,54.0,BMW,X5
Kochi,2015,41721.0,Petrol,Manual,First,19.1,1197.0,82.0,5.0,4.7,Hyundai,Xcent
Hyderabad,2017,13000.0,Petrol,Automatic,First,22.0,1197.0,81.8,5.0,8.5,Maruti,Dzire
Kolkata,2013,38998.0,Diesel,Automatic,First,16.07,1995.0,181.0,4.0,17.0,BMW,3
Kochi,2017,54250.0,Petrol,Manual,First,22.74,796.0,47.3,5.0,3.51,Maruti,Alto
Bangalore,2013,45979.0,Diesel,Automatic,Second,17.11,1968.0,174.33,5.0,19.5,Audi,A4
Pune,2012,37000.0,Petrol,Automatic,Second,13.6,1598.0,181.0,4.0,17.0,Mini,Cooper
Coimbatore,2015,46983.0,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,43.35,Audi,Q7
Bangalore,2012,40700.0,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65,Chevrolet,Beat
Kochi,2015,43828.0,Petrol,Manual,First,20.51,998.0,67.04,5.0,3.52,Maruti,Wagon
Kolkata,2016,53000.0,Diesel,Manual,First,19.01,1461.0,108.5,5.0,6.25,Nissan,Terrano
Ahmedabad,2015,100000.0,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,24.75,BMW,3
Mumbai,2015,19000.0,Petrol,Manual,First,20.85,1197.0,83.14,5.0,5.25,Maruti,Swift
Jaipur,2016,84000.0,Diesel,Manual,First,17.72,1968.0,108.5,5.0,11.0,Skoda,Yeti
Kochi,2018,37630.0,Petrol,Automatic,First,15.63,1499.0,110.4,5.0,9.1,Ford,EcoSport
Chennai,2010,67714.0,Petrol,Manual,First,18.5,1197.0,80.0,5.0,3.25,Hyundai,i20
Pune,2017,32000.0,Diesel,Manual,First,15.0,1248.0,88.5,5.0,8.5,Maruti,S
Pune,2010,51000.0,Petrol,Manual,First,16.2,1599.0,103.2,5.0,3.1,Hyundai,Verna
Kochi,2015,58390.0,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,19.86,BMW,3
Kolkata,2017,14000.0,Diesel,Manual,First,24.0,1186.0,73.97,5.0,4.9,Hyundai,Grand
Delhi,2014,55818.0,Petrol,Manual,Second,17.4,1497.0,117.3,5.0,5.7,Honda,City
Chennai,2006,97800.0,Petrol,Manual,Third,16.1,1240.469387755102,77.88168195718654,5.0,1.75,Maruti,Swift
Kolkata,2012,52241.0,Diesel,Manual,First,25.2,1248.0,74.0,5.0,2.9,Maruti,Swift
Coimbatore,2018,25433.0,Diesel,Manual,First,27.39,1248.0,74.0,5.0,7.83,Maruti,Baleno
Kochi,2015,40611.0,Diesel,Manual,First,14.0,2179.0,138.1,7.0,8.15,Tata,Safari
Bangalore,2008,72000.0,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,2.0,Hyundai,Accent
Hyderabad,2016,54631.0,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.25,Maruti,Swift
Bangalore,2007,60000.0,Diesel,Manual,Second,17.8,1248.0,77.88168195718654,5.0,3.4,Maruti,Swift
Coimbatore,2016,24941.0,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.19,Tata,Nano
Ahmedabad,2017,63939.0,Diesel,Manual,First,25.47,1248.0,88.5,7.0,7.75,Maruti,Ertiga
Delhi,2014,35214.0,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,3.2,Maruti,Celerio
Delhi,2015,63000.0,Diesel,Manual,First,25.2,1248.0,74.0,5.0,4.9,Maruti,Swift
Kochi,2012,121377.0,Petrol,Manual,First,15.04,1598.0,103.6,5.0,3.8,Volkswagen,Vento
Chennai,2009,100970.0,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,4.0,Volkswagen,Jetta
Hyderabad,2014,60000.0,Diesel,Automatic,Second,20.7,1496.0,113.98,5.0,23.5,Mini,Cooper
Chennai,2008,77650.0,Diesel,Manual,First,17.2,1396.0,53.5,5.0,1.15,Tata,Indica
Hyderabad,2007,71297.0,Petrol,Manual,First,17.0,1086.0,62.27931034482759,5.0,2.2,Hyundai,Santro
Mumbai,2008,55001.0,Diesel,Automatic,Second,0.0,2993.0,255.0,5.0,26.5,Land Rover,Range Rover 3.0 D
Bangalore,2015,18955.0,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,10.65,Honda,City
Coimbatore,2016,47877.0,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,35.68,Jaguar,XF
Kochi,2017,43368.0,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,31.94,Mercedes-Benz,E-Class
Chennai,2011,73000.0,Diesel,Manual,Third,18.3,1991.0,147.9,5.0,4.2,Chevrolet,Cruze
Ahmedabad,2015,72007.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.9,Mahindra,XUV500
Kochi,2014,56778.0,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,15.46,Mercedes-Benz,New
Kochi,2018,20024.0,Petrol,Manual,First,18.2,1199.0,88.7,5.0,8.46,Honda,Jazz
Kolkata,2013,42103.0,Petrol,Manual,First,16.78,1496.0,88.73,5.0,3.25,Toyota,Etios
Hyderabad,2012,67147.0,Petrol,Manual,First,19.7,796.0,46.3,5.0,2.6,Maruti,Alto
Coimbatore,2016,37806.0,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.2,Maruti,Swift
Pune,2009,85000.0,Petrol,Manual,Third,19.0,998.0,66.1,5.0,1.8,Maruti,A-Star
Chennai,2011,35000.0,Petrol,Manual,First,25.4,624.0,37.48,4.0,1.6,Tata,Nano
Kolkata,2015,72035.0,Diesel,Manual,First,25.5,1498.0,99.0,5.0,2.5,Ford,Figo
Jaipur,2011,48500.0,Petrol,Manual,First,16.0,1368.0,90.0,5.0,2.5,Fiat,Linea
Coimbatore,2017,28854.0,Petrol,Manual,First,18.16,1196.0,86.8,5.0,6.7,Ford,Figo
Hyderabad,2005,92450.0,Petrol,Manual,First,15.4,1590.0,94.0,5.0,1.2,Maruti,Baleno
Coimbatore,2016,14351.0,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,35.55,BMW,3
Jaipur,2017,51087.0,Diesel,Manual,First,17.9,1998.0,163.7,5.0,7.75,Chevrolet,Cruze
Chennai,2005,50000.0,Diesel,Manual,First,12.7,2609.0,116.6,8.0,1.94,Mahindra,Scorpio
Hyderabad,2016,73000.0,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.2,Tata,Indica
Ahmedabad,2011,60000.0,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,3.8,Chevrolet,Cruze
Chennai,2016,50000.0,Diesel,Manual,First,12.8,2494.0,102.0,8.0,15.65,Toyota,Innova
Coimbatore,2018,36797.0,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.47,Mercedes-Benz,New
Kolkata,2011,50000.0,Petrol,Manual,Second,18.5,1197.0,85.8,5.0,1.5,Maruti,Ritz
Ahmedabad,2013,94000.0,Diesel,Manual,First,12.8,2494.0,102.0,8.0,8.85,Toyota,Innova
Bangalore,2013,74000.0,Diesel,Manual,Second,12.55,2982.0,168.5,7.0,17.9,Toyota,Fortuner
Coimbatore,2014,41016.0,Petrol,Automatic,Second,16.95,1197.0,78.9,5.0,5.08,Hyundai,i10
Bangalore,2012,67000.0,Diesel,Manual,First,22.32,1582.0,126.32,5.0,6.25,Hyundai,Verna
Bangalore,2015,76927.0,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,22.75,Audi,Q3
Kolkata,2010,17088.0,Petrol,Manual,First,18.6,1199.0,79.4,5.0,1.46,Chevrolet,Beat
Pune,2007,112808.0,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,2.05,Ford,Fiesta
Coimbatore,2014,74980.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,4.08,Ford,Figo
Hyderabad,2014,44600.0,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.55,Maruti,Celerio
Mumbai,2013,37000.0,Diesel,Automatic,First,20.0,2143.0,107.3,5.0,14.0,Mercedes-Benz,A
Ahmedabad,2016,21000.0,Petrol,Manual,First,15.8,1591.0,121.3,5.0,10.9,Hyundai,Creta
Bangalore,2010,81245.0,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45,Maruti,Wagon
Delhi,2013,70000.0,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,15.8,Mercedes-Benz,E-Class
Mumbai,2017,4018.0,Petrol,Manual,First,18.88,1499.0,110.4,5.0,8.25,Ford,EcoSport
Delhi,2013,70000.0,Diesel,Automatic,Second,13.73,1995.0,148.0,5.0,8.5,Renault,Koleos
Coimbatore,2016,56532.0,Diesel,Manual,First,16.0,2179.0,140.0,7.0,15.54,Mahindra,XUV500
Hyderabad,2013,26875.0,Petrol,Manual,First,16.8,796.0,34.2,8.0,2.35,Maruti,Omni
Coimbatore,2015,72599.0,Petrol,Manual,First,22.5,998.0,67.04,5.0,4.32,Maruti,Wagon
Jaipur,2008,205000.0,Diesel,Manual,Second,13.1,2499.0,141.0,7.0,3.9,Ford,Endeavour
Hyderabad,2011,98000.0,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,5.2,Hyundai,Verna
Mumbai,2018,19500.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.85,Hyundai,i20
Bangalore,2013,68000.0,Petrol,Manual,Second,16.02,1373.0,93.7,7.0,6.25,Maruti,Ertiga
Coimbatore,2019,19654.0,Diesel,Automatic,First,14.0,2179.0,155.0,7.0,17.63,Mahindra,XUV500
Mumbai,2017,26000.0,Diesel,Manual,First,23.65,1248.0,88.5,5.0,9.75,Maruti,SX4
Bangalore,2015,10000.0,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,55.0,Mercedes-Benz,SLK-Class
Hyderabad,2011,75020.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.1,Volkswagen,Polo
Hyderabad,2011,157000.0,Diesel,Manual,First,12.55,2982.0,168.5,7.0,11.99,Toyota,Fortuner
Kochi,2017,43773.0,Diesel,Manual,First,16.0,2179.0,140.0,7.0,13.54,Mahindra,XUV500
Mumbai,2016,21000.0,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,56.0,Mercedes-Benz,GLE
Chennai,2016,23280.0,Petrol,Manual,First,18.7,1199.0,88.7,5.0,6.5,Honda,Jazz
Pune,2013,88000.0,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.75,Maruti,Swift
Hyderabad,2014,67000.0,Petrol,Manual,First,17.01,1591.0,121.3,5.0,5.6,Hyundai,Verna
Coimbatore,2017,59636.0,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,29.2,Ford,Endeavour
Kolkata,2018,11000.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.35,Hyundai,i20
Mumbai,2013,60669.0,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.95,Honda,City
Hyderabad,2018,12000.0,Diesel,Manual,First,27.4,1498.0,98.6,5.0,8.5,Honda,Amaze
Kolkata,2013,35000.0,Petrol,Manual,First,17.1,1591.0,121.3,5.0,4.5,Hyundai,Verna
Chennai,2015,65000.0,Diesel,Manual,First,24.2,1498.0,98.6,7.0,5.5,Honda,Mobilio
Kochi,2013,39929.0,Diesel,Manual,First,20.77,1248.0,88.8,7.0,6.56,Maruti,Ertiga
Pune,2014,49000.0,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.3,Maruti,Alto
Pune,2004,77757.0,Diesel,Manual,Second,13.1,2446.0,75.0,10.0,3.5,Toyota,Qualis
Kochi,2016,21456.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,4.55,Hyundai,i10
Bangalore,2009,74000.0,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,7.75,Skoda,Laura
Mumbai,2015,37000.0,Petrol,Manual,Second,18.6,1197.0,81.83,5.0,5.25,Hyundai,i20
Coimbatore,2013,108640.0,Diesel,Automatic,First,11.5,2993.0,235.0,5.0,23.29,BMW,5
Mumbai,2016,38000.0,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,23.99,BMW,3
Pune,2010,80000.0,Petrol,Manual,First,14.49,1399.0,92.7,5.0,1.79,Chevrolet,Aveo
Mumbai,2011,47000.0,Diesel,Automatic,Second,14.21,2143.0,203.0,5.0,13.9,Mercedes-Benz,E-Class
Kolkata,2013,31000.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,18.95,Audi,A6
Kolkata,2014,40000.0,Petrol,Manual,First,20.51,998.0,67.04,5.0,2.49,Maruti,Wagon
Jaipur,2016,4152.0,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.15,Renault,KWID
Mumbai,2017,51000.0,Diesel,Manual,First,21.66,1498.0,108.62,5.0,6.45,Volkswagen,Ameo
Ahmedabad,2013,55000.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.25,Volkswagen,Polo
Hyderabad,2014,58500.0,Petrol,Manual,First,22.74,796.0,47.3,5.0,2.75,Maruti,Alto
Kochi,2017,58620.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7.14,Hyundai,i20
Mumbai,2012,29605.0,Petrol,Manual,First,18.3,1197.0,76.90978723404255,5.0,2.44,Toyota,Etios
Jaipur,2012,71172.0,Petrol,Manual,Third,17.0,1197.0,80.0,5.0,3.5,Hyundai,i20
Chennai,2017,12000.0,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.3,Hyundai,i20
Kolkata,2014,25000.0,Petrol,Manual,First,20.51,998.0,67.04,5.0,2.75,Maruti,Wagon
Bangalore,2017,43000.0,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,8.2,Hyundai,i20
Mumbai,2015,57022.0,Petrol,Automatic,First,17.21,1197.0,103.6,5.0,6.51,Volkswagen,Polo
Pune,2015,92000.0,Diesel,Manual,First,20.0,1399.0,68.05,5.0,4.25,Ford,Figo
Coimbatore,2014,33372.0,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,6.21,Maruti,Swift
Kochi,2016,52625.0,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.58,Hyundai,Grand
Chennai,2016,215000.0,Diesel,Manual,First,14.02,2179.0,118.3,7.0,7.5,Mahindra,Xylo
Delhi,2012,65537.0,CNG,Manual,First,26.83,796.0,38.4,5.0,2.1,Maruti,Alto
Coimbatore,2014,60138.0,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.09,Hyundai,i10
Mumbai,2014,84000.0,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,10.75,Skoda,Octavia
Mumbai,2014,47000.0,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,41.5,BMW,X5
Hyderabad,2014,33450.0,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.4,Maruti,Celerio
Jaipur,2013,125000.0,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,6.25,Volkswagen,Vento
Pune,2011,99606.0,Diesel,Automatic,Second,16.07,1995.0,181.0,5.0,10.5,BMW,3
Mumbai,2014,64000.0,Diesel,Manual,First,20.77,1248.0,88.8,7.0,7.25,Maruti,Ertiga
Hyderabad,2013,51000.0,Diesel,Manual,First,20.0,1399.0,68.05,5.0,3.2,Ford,Figo
Mumbai,2014,57000.0,Petrol,Manual,First,16.47,1198.0,74.0,5.0,3.95,Volkswagen,Polo
Coimbatore,2009,48040.0,Diesel,Automatic,Second,16.77,2967.0,241.38,5.0,12.07,Audi,A6
Pune,2017,43200.0,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.6,Toyota,Innova
Delhi,2013,66000.0,Diesel,Automatic,First,22.32,1582.0,126.3,5.0,5.7,Hyundai,Verna
Kolkata,2013,31000.0,Petrol,Manual,First,17.92,1086.0,62.1,5.0,1.75,Hyundai,Santro
Delhi,2011,46000.0,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,10.99,Audi,A4
Kolkata,2012,47346.0,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,14.5,Audi,A4
Jaipur,2009,100000.0,Diesel,Manual,First,17.0,1896.0,105.0,5.0,3.11,Skoda,Laura
Coimbatore,2015,63856.0,Petrol,Automatic,First,13.7,1997.0,153.86,5.0,13.96,Honda,CR-V
Coimbatore,2015,72996.0,Diesel,Manual,First,22.32,1582.0,126.32,5.0,7.11,Hyundai,Verna
Chennai,2014,23000.0,Diesel,Manual,First,24.5,1498.0,98.6,7.0,6.9,Honda,Mobilio
Coimbatore,2018,15985.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7.77,Hyundai,i20
Kolkata,2011,98000.0,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,5.5,Toyota,Innova
Hyderabad,2014,70089.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.35,Hyundai,i20
Chennai,2011,99000.0,Diesel,Manual,Second,13.6,2523.0,63.0,7.0,4.5,Mahindra,Bolero
Jaipur,2014,72000.0,Diesel,Manual,First,20.34,1498.0,103.2,5.0,4.75,Volkswagen,Vento
Coimbatore,2015,44194.0,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,32.8,Jaguar,XF
Mumbai,2005,102000.0,Petrol,Manual,First,17.3,993.0,60.0,5.0,0.7,Maruti,Zen
Coimbatore,2018,56652.0,Diesel,Automatic,First,13.0,2987.0,258.0,5.0,50.29,Mercedes-Benz,E-Class
Mumbai,2010,41650.0,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,10.99,Toyota,Fortuner
Coimbatore,2015,61717.0,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,5.57,Hyundai,Grand
Jaipur,2018,25302.0,Diesel,Manual,First,25.4,1186.0,73.97,5.0,5.9,Hyundai,Xcent
Coimbatore,2016,47016.0,Petrol,Manual,First,15.29,1591.0,121.3,5.0,9.43,Hyundai,Creta
Bangalore,2010,69000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.9,Hyundai,i10
Delhi,2016,32700.0,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.68,Honda,Brio
Coimbatore,2015,101337.0,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,21.67,Toyota,Fortuner
Ahmedabad,2011,59000.0,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,12.5,Audi,A4
Kochi,2018,41736.0,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.92,Toyota,Innova
Jaipur,2014,71649.0,Diesel,Manual,First,25.1,1498.0,98.6,5.0,6.75,Honda,City
Kochi,2015,80606.0,Diesel,Manual,First,25.1,1498.0,98.6,5.0,6.96,Honda,City
Jaipur,2017,63262.0,Petrol,Manual,First,21.7,999.0,67.0,5.0,3.25,Renault,KWID
Hyderabad,2018,5456.0,Diesel,Manual,First,28.4,1248.0,74.0,5.0,8.65,Maruti,Swift
Pune,2017,7500.0,Petrol,Automatic,First,23.1,998.0,67.04,5.0,5.0,Maruti,Celerio
Delhi,2011,66000.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,5.5,Mahindra,XUV500
Jaipur,2010,66770.0,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,2.6,Hyundai,i10
Kochi,2014,58472.0,Petrol,Manual,First,19.81,1086.0,68.05,5.0,3.41,Hyundai,i10
Kolkata,2011,46687.0,Petrol,Manual,First,22.0,1197.0,81.8,5.0,2.7,Maruti,Dzire
Chennai,2008,77000.0,Petrol,Automatic,Fourth & Above,9.7,1995.0,163.5,5.0,5.5,Maruti,Grand
Kolkata,2012,7000.0,Petrol,Automatic,First,14.33,1984.0,226.6,4.0,35.0,Audi,TT
Mumbai,2011,48000.0,Petrol,Automatic,Second,14.74,1991.0,184.0,5.0,9.75,Mercedes-Benz,New
Mumbai,2013,47000.0,Diesel,Manual,First,21.64,1461.0,84.8,5.0,4.25,Nissan,Sunny
Ahmedabad,2015,51530.0,Petrol,Manual,First,18.9,998.0,67.1,5.0,3.2,Maruti,Wagon
Bangalore,2014,25789.0,Diesel,Manual,Second,23.4,1248.0,74.0,5.0,6.85,Maruti,Swift
Delhi,2015,48000.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,4.5,Honda,Amaze
Delhi,2012,52000.0,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.55,Maruti,Swift
Hyderabad,2010,95637.0,CNG,Manual,Second,13.2,1495.0,93.7,5.0,1.9,Hyundai,Accent
Hyderabad,2008,131000.0,Diesel,Manual,First,10.5,2609.0,120.0,7.0,3.6,Mahindra,Scorpio
Kochi,2015,42076.0,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,21.8,Mercedes-Benz,E-Class
Mumbai,2012,76000.0,Diesel,Manual,Second,13.0,2982.0,168.5,7.0,13.5,Toyota,Fortuner
Bangalore,2016,20487.0,Petrol,Manual,First,22.7,799.0,53.64,5.0,2.66,Datsun,redi-GO
Delhi,2010,43000.0,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,3.75,Honda,City
Pune,2018,17000.0,Petrol,Automatic,First,19.16,2494.0,158.2,5.0,32.0,Toyota,Camry
Coimbatore,2016,60805.0,Diesel,Manual,First,26.0,1498.0,98.6,5.0,8.07,Honda,City
Kochi,2012,58775.0,Diesel,Manual,First,19.33,1968.0,138.1,5.0,5.64,Volkswagen,Jetta
Hyderabad,2013,70181.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,23.99,Audi,A6
Coimbatore,2016,85827.0,Diesel,Manual,First,20.77,1248.0,88.76,7.0,7.5,Maruti,Ertiga
Jaipur,2016,58205.0,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,27.0,Mercedes-Benz,New
Mumbai,2008,91000.0,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,2.85,Maruti,Swift
Pune,2012,74000.0,Diesel,Manual,First,19.01,1461.0,108.45,5.0,6.35,Renault,Duster
Hyderabad,2010,79324.0,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.3,Maruti,Ritz
Bangalore,2013,38623.0,Petrol,Manual,First,19.1,1197.0,85.8,5.0,5.0,Maruti,Swift
Coimbatore,2014,59923.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.46,Maruti,Swift
Jaipur,2017,23360.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.75,Hyundai,EON
Kochi,2003,61495.0,Petrol,Manual,Third,17.3,993.0,60.0,5.0,1.52,Maruti,Zen
Coimbatore,2012,56661.0,Petrol,Manual,First,15.1,1196.0,73.0,7.0,3.61,Maruti,Eeco
Coimbatore,2017,40318.0,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,43.74,Audi,Q5
Chennai,2014,60000.0,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,20.0,Audi,Q3
Pune,2008,103000.0,Diesel,Automatic,Second,0.0,799.0,45.0,2.0,3.0,Smart,Fortwo
Hyderabad,2010,130000.0,Diesel,Manual,First,19.3,1248.0,73.9,5.0,3.65,Maruti,Swift
Mumbai,2013,20000.0,Diesel,Manual,First,14.07,1978.0,83.1,10.0,5.25,Tata,Sumo
Hyderabad,2016,76000.0,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,58.0,BMW,X5
Mumbai,2015,30000.0,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,8.65,Honda,City
Delhi,2015,150000.0,Diesel,Manual,First,25.0,1396.0,69.01,5.0,2.5,Tata,Indigo
Chennai,2014,28000.0,Petrol,Automatic,First,16.93,1197.0,103.6,5.0,7.75,Volkswagen,Vento
Bangalore,2015,74000.0,Petrol,Manual,First,23.1,998.0,67.04,5.0,4.15,Maruti,Celerio
Delhi,2011,75000.0,Diesel,Manual,First,11.5,2982.0,171.0,7.0,10.85,Toyota,Fortuner
Delhi,2010,76000.0,Petrol,Automatic,Second,11.3,2360.0,170.0,5.0,5.53,Mitsubishi,Outlander
Pune,2014,64889.0,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,11.5,Volkswagen,Jetta
Hyderabad,2010,10000.0,Petrol,Manual,First,9.0,3436.0,320.0,2.0,40.0,Porsche,Cayman
