Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,prix_euro,marque_modele
2016,54631,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6875.0,Maruti Swift
2007,60000,Diesel,Manual,Second,17.8,1248.0,113.0,5.0,3740.0,Maruti Swift
2016,24941,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3509.0,Tata Nano
2017,63939,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8525.0,Maruti Ertiga
2014,35214,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,3520.0,Maruti Celerio
2015,63000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5390.0,Maruti Swift
2012,121377,Petrol,Manual,First,15.04,1598.0,103.6,5.0,4180.0,Volkswagen Vento
2009,100970,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,4400.0,Volkswagen Jetta
2014,60000,Diesel,Automatic,Second,20.7,1496.0,113.98,5.0,25850.0,Mini Cooper
2008,77650,Diesel,Manual,First,17.2,1396.0,53.5,5.0,1264.9999999999998,Tata Indica
2007,71297,Petrol,Manual,First,17.0,1086.0,113.0,5.0,2420.0,Hyundai Santro
2008,55001,Diesel,Automatic,Second,0.0,1622.0,113.0,5.0,29150.0,Land Rover
2015,18955,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,11715.0,Honda City
2016,47877,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,39248.0,Jaguar XF
2017,43368,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,35134.0,Mercedes-Benz E-Class
2011,73000,Diesel,Manual,Third,18.3,1991.0,147.9,5.0,4620.0,Chevrolet Cruze
2015,72007,Diesel,Manual,First,15.1,2179.0,140.0,7.0,10890.0,Mahindra XUV500
2014,56778,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,17006.0,Mercedes-Benz New
2018,20024,Petrol,Manual,First,18.2,1199.0,88.7,5.0,9306.0,Honda Jazz
2013,42103,Petrol,Manual,First,16.78,1496.0,88.73,5.0,3575.0,Toyota Etios
2012,67147,Petrol,Manual,First,19.7,796.0,46.3,5.0,2860.0,Maruti Alto
2016,37806,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5720.0,Maruti Swift
2009,85000,Petrol,Manual,Third,19.0,998.0,66.1,5.0,1979.9999999999998,Maruti A-Star
2011,35000,Petrol,Manual,First,25.4,624.0,37.48,4.0,1760.0,Tata Nano
2015,72035,Diesel,Manual,First,25.5,1498.0,99.0,5.0,2750.0,Ford Figo
2011,48500,Petrol,Manual,First,16.0,1368.0,90.0,5.0,2750.0,Fiat Linea
2017,28854,Petrol,Manual,First,18.16,1196.0,86.8,5.0,7370.0,Ford Figo
2005,92450,Petrol,Manual,First,15.4,1590.0,94.0,5.0,1320.0,Maruti Baleno
2016,14351,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,39104.99999999999,BMW 3
2017,51087,Diesel,Manual,First,17.9,1998.0,163.7,5.0,8525.0,Chevrolet Cruze
2005,50000,Diesel,Manual,First,12.7,2609.0,116.6,8.0,2134.0,Mahindra Scorpio
2016,73000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2420.0,Tata Indica
2011,60000,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,4180.0,Chevrolet Cruze
2016,50000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,17215.0,Toyota Innova
2018,36797,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,43417.0,Mercedes-Benz New
2011,50000,Petrol,Manual,Second,18.5,1197.0,85.8,5.0,1650.0,Maruti Ritz
2013,94000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,9735.0,Toyota Innova
2013,74000,Diesel,Manual,Second,12.55,2982.0,168.5,7.0,19689.999999999996,Toyota Fortuner
2014,41016,Petrol,Automatic,Second,16.95,1197.0,78.9,5.0,5588.0,Hyundai i10
2012,67000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,6875.0,Hyundai Verna
2015,76927,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,25025.0,Audi Q3
2010,17088,Petrol,Manual,First,18.6,1199.0,79.4,5.0,1606.0,Chevrolet Beat
2007,112808,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,2254.9999999999995,Ford Fiesta
2014,74980,Diesel,Manual,First,20.0,1399.0,68.0,5.0,4488.0,Ford Figo
2014,44600,Petrol,Automatic,First,23.1,998.0,67.04,5.0,5005.0,Maruti Celerio
2013,37000,Diesel,Automatic,First,20.0,2143.0,107.3,5.0,15400.0,Mercedes-Benz A
2016,21000,Petrol,Manual,First,15.8,1591.0,121.3,5.0,11990.0,Hyundai Creta
2010,81245,Petrol,Manual,First,18.9,998.0,67.1,5.0,2695.0,Maruti Wagon
2013,70000,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,17380.0,Mercedes-Benz E-Class
2017,4018,Petrol,Manual,First,18.88,1499.0,110.4,5.0,9075.0,Ford EcoSport
2013,70000,Diesel,Automatic,Second,13.73,1995.0,148.0,5.0,9350.0,Renault Koleos
2016,56532,Diesel,Manual,First,16.0,2179.0,140.0,7.0,17094.0,Mahindra XUV500
2013,26875,Petrol,Manual,First,16.8,796.0,34.2,8.0,2585.0,Maruti Omni
2015,72599,Petrol,Manual,First,22.5,998.0,67.04,5.0,4752.0,Maruti Wagon
2008,205000,Diesel,Manual,Second,13.1,2499.0,141.0,7.0,4290.0,Ford Endeavour
2011,98000,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,5720.0,Hyundai Verna
2018,19500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6435.0,Hyundai i20
2013,68000,Petrol,Manual,Second,16.02,1373.0,93.7,7.0,6875.0,Maruti Ertiga
2019,19654,Diesel,Automatic,First,14.0,2179.0,155.0,7.0,19393.0,Mahindra XUV500
2017,26000,Diesel,Manual,First,23.65,1248.0,88.5,5.0,10725.0,Maruti SX4
2015,10000,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,60500.0,Mercedes-Benz SLK-Class
2011,75020,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4509.999999999999,Volkswagen Polo
2011,157000,Diesel,Manual,First,12.55,2982.0,168.5,7.0,13189.0,Toyota Fortuner
2017,43773,Diesel,Manual,First,16.0,2179.0,140.0,7.0,14894.0,Mahindra XUV500
2016,21000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,61600.0,Mercedes-Benz GLE
2016,23280,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7150.0,Honda Jazz
2013,88000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,5225.0,Maruti Swift
2014,67000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,6160.0,Hyundai Verna
2017,59636,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,32119.999999999996,Ford Endeavour
2018,11000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6985.0,Hyundai i20
2013,60669,Petrol,Manual,First,16.8,1497.0,116.3,5.0,5445.0,Honda City
2018,12000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,9350.0,Honda Amaze
2013,35000,Petrol,Manual,First,17.1,1591.0,121.3,5.0,4950.0,Hyundai Verna
2015,65000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,6050.0,Honda Mobilio
2013,39929,Diesel,Manual,First,20.77,1248.0,88.8,7.0,7216.0,Maruti Ertiga
2014,49000,Petrol,Manual,First,24.07,998.0,67.1,5.0,2529.9999999999995,Maruti Alto
2004,77757,Diesel,Manual,Second,13.1,2446.0,75.0,10.0,3850.0,Toyota Qualis
2016,21456,Petrol,Manual,First,20.36,1197.0,78.9,5.0,5005.0,Hyundai i10
2009,74000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,8525.0,Skoda Laura
2015,37000,Petrol,Manual,Second,18.6,1197.0,81.83,5.0,5775.0,Hyundai i20
2013,108640,Diesel,Automatic,First,11.5,2993.0,235.0,5.0,25619.0,BMW 5
2016,38000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,26389.0,BMW 3
2010,80000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,1968.9999999999998,Chevrolet Aveo
2011,47000,Diesel,Automatic,Second,14.21,2143.0,203.0,5.0,15290.0,Mercedes-Benz E-Class
2013,31000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,20845.0,Audi A6
2014,40000,Petrol,Manual,First,20.51,998.0,67.04,5.0,2739.0,Maruti Wagon
2016,4152,Petrol,Manual,First,25.17,799.0,53.3,5.0,3465.0,Renault KWID
2017,51000,Diesel,Manual,First,21.66,1498.0,108.62,5.0,7095.0,Volkswagen Ameo
2013,55000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4675.0,Volkswagen Polo
2014,58500,Petrol,Manual,First,22.74,796.0,47.3,5.0,3025.0,Maruti Alto
2017,58620,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7853.999999999999,Hyundai i20
2012,29605,Petrol,Manual,First,18.3,1197.0,113.0,5.0,2684.0,Toyota Etios
2012,71172,Petrol,Manual,Third,17.0,1197.0,80.0,5.0,3850.0,Hyundai i20
2017,12000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8029.999999999999,Hyundai i20
2014,25000,Petrol,Manual,First,20.51,998.0,67.04,5.0,3025.0,Maruti Wagon
2017,43000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,9019.999999999998,Hyundai i20
2015,57022,Petrol,Automatic,First,17.21,1197.0,103.6,5.0,7161.0,Volkswagen Polo
2015,92000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,4675.0,Ford Figo
2014,33372,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,6831.0,Maruti Swift
2016,52625,Diesel,Manual,First,24.0,1120.0,70.0,5.0,5038.0,Hyundai Grand
2016,215000,Diesel,Manual,First,14.02,2179.0,118.3,7.0,8250.0,Mahindra Xylo
2012,65537,CNG,Manual,First,26.83,796.0,38.4,5.0,2310.0,Maruti Alto
2014,60138,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4499.0,Hyundai i10
2014,84000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,11825.0,Skoda Octavia
2014,47000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,45650.0,BMW X5
2014,33450,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4840.0,Maruti Celerio
2013,125000,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,6875.0,Volkswagen Vento
2011,99606,Diesel,Automatic,Second,16.07,1995.0,181.0,5.0,11550.0,BMW 3
2014,64000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,7974.999999999999,Maruti Ertiga
2013,51000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,3520.0,Ford Figo
2014,57000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,4345.0,Volkswagen Polo
2009,48040,Diesel,Automatic,Second,16.77,2967.0,241.38,5.0,13277.0,Audi A6
2017,43200,Diesel,Manual,First,13.68,2393.0,147.8,7.0,20460.0,Toyota Innova
2013,66000,Diesel,Automatic,First,22.32,1582.0,126.3,5.0,6270.0,Hyundai Verna
2013,31000,Petrol,Manual,First,17.92,1086.0,62.1,5.0,1925.0,Hyundai Santro
2011,46000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,12089.0,Audi A4
2012,47346,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,15949.999999999998,Audi A4
2009,100000,Diesel,Manual,First,17.0,1896.0,105.0,5.0,3421.0,Skoda Laura
2015,63856,Petrol,Automatic,First,13.7,1997.0,153.86,5.0,15356.0,Honda CR-V
2015,72996,Diesel,Manual,First,22.32,1582.0,126.32,5.0,7821.0,Hyundai Verna
2014,23000,Diesel,Manual,First,24.5,1498.0,98.6,7.0,7590.0,Honda Mobilio
2018,15985,Petrol,Manual,First,18.6,1197.0,81.83,5.0,8547.0,Hyundai i20
2011,98000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,6050.0,Toyota Innova
2014,70089,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5885.0,Hyundai i20
2011,99000,Diesel,Manual,Second,13.6,2523.0,63.0,7.0,4950.0,Mahindra Bolero
2014,72000,Diesel,Manual,First,20.34,1498.0,103.2,5.0,5225.0,Volkswagen Vento
2015,44194,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,36079.99999999999,Jaguar XF
2005,102000,Petrol,Manual,First,17.3,993.0,60.0,5.0,770.0,Maruti Zen
2018,56652,Diesel,Automatic,First,13.0,2987.0,258.0,5.0,55319.0,Mercedes-Benz E-Class
2010,41650,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,12089.0,Toyota Fortuner
2015,61717,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,6127.0,Hyundai Grand
2018,25302,Diesel,Manual,First,25.4,1186.0,73.97,5.0,6490.0,Hyundai Xcent
2016,47016,Petrol,Manual,First,15.29,1591.0,121.3,5.0,10373.0,Hyundai Creta
2010,69000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3190.0,Hyundai i10
2016,32700,Petrol,Manual,First,19.4,1198.0,86.8,5.0,4047.9999999999995,Honda Brio
2015,101337,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,23837.0,Toyota Fortuner
2011,59000,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13750.0,Audi A4
2018,41736,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,21912.0,Toyota Innova
2014,71649,Diesel,Manual,First,25.1,1498.0,98.6,5.0,7425.0,Honda City
2015,80606,Diesel,Manual,First,25.1,1498.0,98.6,5.0,7656.0,Honda City
2017,63262,Petrol,Manual,First,21.7,999.0,67.0,5.0,3575.0,Renault KWID
2018,5456,Diesel,Manual,First,28.4,1248.0,74.0,5.0,9515.0,Maruti Swift
2017,7500,Petrol,Automatic,First,23.1,998.0,67.04,5.0,5500.0,Maruti Celerio
2011,66000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,6050.0,Mahindra XUV500
2010,66770,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,2860.0,Hyundai i10
2014,58472,Petrol,Manual,First,19.81,1086.0,68.05,5.0,3751.0,Hyundai i10
2011,46687,Petrol,Manual,First,22.0,1197.0,81.8,5.0,2970.0,Maruti Dzire
2008,77000,Petrol,Automatic,Fourth & Above,9.7,1995.0,163.5,5.0,6050.0,Maruti Grand
2012,7000,Petrol,Automatic,First,14.33,1984.0,226.6,4.0,38500.0,Audi TT
2011,48000,Petrol,Automatic,Second,14.74,1991.0,184.0,5.0,10725.0,Mercedes-Benz New
2013,47000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,4675.0,Nissan Sunny
2015,51530,Petrol,Manual,First,18.9,998.0,67.1,5.0,3520.0,Maruti Wagon
2014,25789,Diesel,Manual,Second,23.4,1248.0,74.0,5.0,7535.0,Maruti Swift
2015,48000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,4950.0,Honda Amaze
2012,52000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3905.0,Maruti Swift
2010,95637,CNG,Manual,Second,13.2,1495.0,93.7,5.0,2090.0,Hyundai Accent
2008,131000,Diesel,Manual,First,10.5,2609.0,120.0,7.0,3959.9999999999995,Mahindra Scorpio
2015,42076,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,23980.0,Mercedes-Benz E-Class
2012,76000,Diesel,Manual,Second,13.0,2982.0,168.5,7.0,14850.0,Toyota Fortuner
2016,20487,Petrol,Manual,First,22.7,799.0,53.64,5.0,2926.0,Datsun redi-GO
2010,43000,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,4125.0,Honda City
2018,17000,Petrol,Automatic,First,19.16,2494.0,158.2,5.0,35200.0,Toyota Camry
2016,60805,Diesel,Manual,First,26.0,1498.0,98.6,5.0,8877.0,Honda City
2012,58775,Diesel,Manual,First,19.33,1968.0,138.1,5.0,6204.0,Volkswagen Jetta
2013,70181,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,26389.0,Audi A6
2016,85827,Diesel,Manual,First,20.77,1248.0,88.76,7.0,8250.0,Maruti Ertiga
2016,58205,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,29700.0,Mercedes-Benz New
2008,91000,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,3135.0,Maruti Swift
2012,74000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,6985.0,Renault Duster
2010,79324,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3630.0,Maruti Ritz
2013,38623,Petrol,Manual,First,19.1,1197.0,85.8,5.0,5500.0,Maruti Swift
2014,59923,Diesel,Manual,First,22.9,1248.0,74.0,5.0,7106.0,Maruti Swift
2017,23360,Petrol,Manual,First,21.1,814.0,55.2,5.0,4125.0,Hyundai EON
2003,61495,Petrol,Manual,Third,17.3,993.0,60.0,5.0,1672.0,Maruti Zen
2012,56661,Petrol,Manual,First,15.1,1196.0,73.0,7.0,3970.9999999999995,Maruti Eeco
2017,40318,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,48114.0,Audi Q5
2014,60000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,22000.0,Audi Q3
2008,103000,Diesel,Automatic,Second,0.0,799.0,113.0,2.0,3300.0,Smart Fortwo
2010,130000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,4014.9999999999995,Maruti Swift
2013,20000,Diesel,Manual,First,14.07,1978.0,83.1,10.0,5775.0,Tata Sumo
2016,76000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,63799.99999999999,BMW X5
2015,30000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,9515.0,Honda City
2015,150000,Diesel,Manual,First,25.0,1396.0,69.01,5.0,2750.0,Tata Indigo
2014,28000,Petrol,Automatic,First,16.93,1197.0,103.6,5.0,8525.0,Volkswagen Vento
2015,74000,Petrol,Manual,First,23.1,998.0,67.04,5.0,4565.0,Maruti Celerio
2011,75000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,11935.0,Toyota Fortuner
2010,76000,Petrol,Automatic,Second,11.3,2360.0,170.0,5.0,6083.0,Mitsubishi Outlander
2014,64889,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,12650.0,Volkswagen Jetta
2010,10000,Petrol,Manual,First,9.0,3436.0,113.0,2.0,44000.0,Porsche Cayman
2015,43000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,10175.0,Hyundai Creta
2011,47490,Petrol,Manual,First,17.5,1198.0,75.0,5.0,2519.0,Skoda Fabia
2015,80000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,7700.0,Ford EcoSport
2007,60000,Petrol,Manual,Second,18.2,1061.0,64.0,5.0,1815.0,Maruti Zen
2017,6006,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9075.0,Maruti Ciaz
2011,71703,Petrol,Automatic,First,14.74,1991.0,181.03,5.0,10054.0,Mercedes-Benz New
2016,33000,Petrol,Manual,First,17.8,1198.0,86.7,5.0,7150.0,Honda Amaze
2012,60000,Diesel,Manual,First,23.59,1364.0,113.0,5.0,3245.0,Toyota Etios
2015,91000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,6325.0,Renault Duster
2012,72000,LPG,Manual,First,26.2,998.0,58.2,5.0,3135.0,Maruti Wagon
2011,43000,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,2310.0,Volkswagen Polo
2017,63770,Diesel,Manual,First,19.67,1582.0,126.2,5.0,14905.0,Hyundai Creta
2012,43510,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,22550.0,Jaguar XF
2017,52000,Diesel,Manual,First,16.3,1956.0,170.0,5.0,22000.0,Jeep Compass
2018,31427,Diesel,Automatic,First,15.68,1999.0,177.0,5.0,65692.0,Land Rover
2016,29000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,7150.0,Maruti Baleno
2016,56000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8250.0,Maruti Ciaz
2007,76000,Petrol,Manual,Second,15.0,1586.0,104.68,5.0,2365.0,Maruti SX4
2015,53615,Diesel,Manual,First,22.7,1582.0,126.24,5.0,9284.0,Hyundai Elantra
2013,132000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,13739.0,Mitsubishi Pajero
2017,14800,Petrol,Manual,First,17.0,1198.0,73.75,5.0,6028.0,Volkswagen Ameo
2013,35433,Petrol,Manual,First,18.5,1197.0,85.8,5.0,4620.0,Maruti Ritz
2013,82966,Diesel,Manual,First,16.8,1493.0,110.0,5.0,7919.999999999999,Hyundai Verna
2014,96000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,5280.0,Maruti Swift
2017,39528,Diesel,Manual,First,25.32,1198.0,77.0,6.0,6413.0,Mahindra KUV
2018,92056,Diesel,Manual,First,13.68,2393.0,147.8,7.0,20229.0,Toyota Innova
2016,14930,Petrol,Manual,First,21.4,1197.0,83.1,5.0,6435.0,Maruti Baleno
2016,38000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,6831.0,Honda Jazz
2013,71000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,4014.9999999999995,Hyundai i20
2012,71000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,4069.9999999999995,Hyundai i20
2015,50000,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33000.0,Mercedes-Benz New
2016,48163,Petrol,Manual,First,19.1,1197.0,82.0,5.0,5334.999999999999,Hyundai Xcent
2017,19168,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,7623.0,Hyundai Grand
2016,26000,Petrol,Manual,First,22.74,796.0,47.3,5.0,2860.0,Maruti Alto
2014,37400,Petrol,Manual,First,18.2,1199.0,82.5,5.0,2079.0,Chevrolet Sail
2018,8682,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,43450.0,Mercedes-Benz C-Class
2012,95000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,11000.0,Skoda Superb
2009,34000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,10944.999999999998,Audi A4
2014,95000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,10394.999999999998,Toyota Innova
2017,13689,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,31075.0,Mercedes-Benz CLA
2008,84000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,1979.9999999999998,Hyundai i10
2008,47000,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,1540.0,Maruti Swift
2015,60001,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,7974.999999999999,Skoda Rapid
2012,96000,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3959.9999999999995,Maruti Ritz
2004,47300,Petrol,Manual,Second,14.4,1599.0,94.0,5.0,1320.0,Hyundai Accent
2014,28246,Petrol,Manual,Second,17.8,1198.0,86.7,5.0,5434.0,Honda Amaze
2007,65000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1375.0,Maruti Wagon
2013,68000,Diesel,Manual,Second,22.07,1199.0,73.9,5.0,5280.0,Volkswagen Polo
2019,11209,Diesel,Automatic,First,12.62,2198.0,158.0,7.0,34265.0,Ford Endeavour
2011,41980,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,3630.0,Hyundai i20
2012,65000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2640.0,Chevrolet Beat
2010,38000,Petrol,Manual,First,14.8,1799.0,130.2,5.0,2200.0,Honda Civic
2014,51000,Petrol,Manual,First,20.51,998.0,67.04,5.0,3410.0,Maruti Wagon
2014,33855,Petrol,Manual,First,15.0,1598.0,103.6,5.0,5599.0,Skoda Rapid
2006,146000,Petrol,Manual,Second,15.4,1590.0,94.0,5.0,1155.0,Maruti Baleno
2015,47037,Diesel,Manual,Second,22.77,1498.0,98.59,5.0,7700.0,Ford EcoSport
2010,58000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,2750.0,Hyundai Accent
2012,61240,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,19250.0,BMW 5
2011,91211,Petrol,Manual,First,20.92,998.0,67.1,5.0,2310.0,Maruti Alto
2013,84000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,19525.0,Audi Q3
2008,64226,LPG,Manual,First,17.3,1061.0,57.5,5.0,1595.0,Maruti Wagon
2005,67000,Petrol,Automatic,Second,11.3,1794.0,125.0,5.0,2695.0,Toyota Corolla
2011,106976,Diesel,Automatic,First,13.5,2400.0,215.0,5.0,15180.0,Volvo XC60
2016,27210,Diesel,Manual,First,27.3,1498.0,98.6,5.0,6435.0,Honda Jazz
2017,26322,Diesel,Manual,First,28.09,1248.0,88.5,5.0,9790.0,Maruti Ciaz
2016,9107,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5665.0,Maruti Swift
2015,63983,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,18215.999999999996,Mercedes-Benz New
2010,134000,Petrol,Manual,Second,18.9,1061.0,67.0,5.0,1815.0,Maruti Wagon
2015,11000,Petrol,Automatic,First,15.5,1595.0,120.7,5.0,17600.0,Mercedes-Benz A
2008,93000,Petrol,Manual,First,0.0,1086.0,62.0,5.0,1595.0,Hyundai Santro
2017,24852,Diesel,Automatic,First,26.59,1248.0,74.0,5.0,8888.0,Maruti Swift
2014,37632,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,4950.0,Hyundai Grand
2013,55000,Petrol,Manual,Second,16.95,1498.0,97.7,5.0,4730.0,Nissan Sunny
2010,81448,Petrol,Manual,First,19.0,998.0,66.1,5.0,2860.0,Maruti A-Star
2018,1900,Petrol,Manual,First,25.17,799.0,53.3,5.0,4895.0,Renault KWID
2012,54957,Petrol,Automatic,First,17.1,1591.0,121.4,5.0,5907.0,Hyundai Verna
2008,55000,Petrol,Manual,Second,18.9,1061.0,67.0,5.0,1925.0,Maruti Wagon
2013,21983,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,18150.0,BMW 3
2013,76000,Diesel,Automatic,First,18.48,1995.0,177.0,5.0,20900.0,BMW 5
2016,65000,Diesel,Manual,First,25.0,1396.0,69.01,5.0,3080.0,Tata Indigo
2015,26000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,6820.0,Hyundai i20
2019,11571,Petrol,Manual,First,16.8,796.0,34.2,8.0,4180.0,Maruti Omni
2014,81000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6710.0,Maruti Swift
2019,23154,Diesel,Manual,First,23.0,1498.0,98.96,5.0,12815.0,Ford Ecosport
2014,26856,Petrol,Automatic,First,16.5,1198.0,86.8,5.0,4565.0,Honda Brio
2017,67489,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18150.0,Toyota Innova
2008,176000,Diesel,Manual,Second,10.5,2179.0,120.0,8.0,4730.0,Mahindra Scorpio
2010,18000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,2475.0,Hyundai i20
2014,63003,Diesel,Manual,First,22.32,1582.0,126.32,5.0,7425.0,Hyundai Verna
2014,80000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,10340.0,Mahindra XUV500
2014,56658,Diesel,Manual,First,20.64,1498.0,108.5,5.0,5929.0,Volkswagen Vento
2019,18592,Diesel,Manual,First,26.59,1248.0,74.0,5.0,9361.0,Maruti Swift
2010,75695,Petrol,Manual,First,13.7,1368.0,88.8,5.0,2034.9999999999998,Tata Manza
2012,82000,Diesel,Manual,Second,22.9,1248.0,74.0,5.0,2750.0,Maruti Swift
2013,60000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5225.0,Volkswagen Polo
2009,138000,Petrol,Manual,Second,17.0,1497.0,118.0,5.0,3850.0,Honda City
2014,67000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,6050.0,Hyundai i20
2012,42750,Petrol,Manual,First,17.0,1497.0,118.0,5.0,6963.0,Honda City
